air_waybill_number;date_of_sale;date_of_flight;flight_number;cargo_transportation_route;physical_weight;volume;volume_weight;paid_weight;currency_of_sale;air_fare;air_fare_1;rfs;rfs_1;total_amount;agency_commission;agency_commission_1;fees_total;myc;myc_1;type_of_cargo;transfer_point;product_code;additional_product_code;shc_code;inn;kpp;note;the_counterparty_to_the_inn_from_fwb
555-79766783;07.04.2025;08.04.2025;SU-1703;VVO-SVO;521,00;3,70;616,67;617,00;RUB;160,00;98720,00;0,00;0,00;100559,30;24,00;24,00;1839,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766794;07.04.2025;08.04.2025;SU-5805;VVO-SVO;514,00;3,98;663,33;663,50;RUB;160,00;106160,00;0,00;0,00;108134,15;24,00;24,00;1974,15;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766805;07.04.2025;08.04.2025;SU-5805;VVO-SVO;500,00;3,81;635,00;635,00;RUB;160,00;101600,00;0,00;0,00;103491,50;24,00;24,00;1891,50;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766816;07.04.2025;08.04.2025;SU-5805;VVO-SVO;515,00;4,11;685,00;685,00;RUB;160,00;109600,00;0,00;0,00;111636,50;24,00;24,00;2036,50;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766864;07.04.2025;08.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CV-BIOMATERIAL;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766960;08.04.2025;08.04.2025;SU-1715;KHV-SVO;3,00;0,03;5,00;25,00;RUB;156,00;3900,00;0,00;0,00;4022,50;24,00;24,00;122,50;0,00;0,00;BIOMATERIALY;;520;;LHO;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-79767575;03.04.2025;03.04.2025;SU-1701;VVO-SVO;2,00;0,02;3,33;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;BIOMATERIAL;;520;;LHO;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767822;02.04.2025;03.04.2025;HZ-5616;VVO-PKC;104,00;0,50;83,33;104,00;RUB;194,00;20176,00;0,00;0,00;20527,60;24,00;24,00;351,60;0,00;0,00;CV-OBORUDOV;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94592853;01.04.2025;02.04.2025;HZ-5612;KHV-GDX;72,00;0,51;85,00;85,00;RUB;222,00;18870,00;0,00;0,00;19166,50;24,00;24,00;296,50;0,00;0,00;BADI;;510;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-94592945;04.04.2025;05.04.2025;HZ-5680;VVO-UUS;0,50;0,01;1,67;25,00;RUB;95,00;2375,00;0,00;0,00;2497,50;24,00;24,00;122,50;0,00;0,00;ZAPCHASTITITO;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94592982;01.04.2025;02.04.2025;HZ-5684;KHV-PKC;201,00;0,78;130,00;201,00;RUB;207,00;41607,00;0,00;0,00;42239,90;24,00;24,00;632,90;0,00;0,00;BADY;;510;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-94593041;03.04.2025;04.04.2025;SU-1715;KHV-SVO;5904,00;56,32;9386,67;9387,00;RUB;138,00;1295406,00;0,00;0,00;1322678,30;24,00;24,00;27272,30;0,00;0,00;OBORUDOWANIE;;510;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593181;10.04.2025;11.04.2025;HZ-5612;KHV-GDX;67,00;0,48;80,00;80,00;RUB;222,00;17760,00;0,00;0,00;18042,00;24,00;24,00;282,00;0,00;0,00;BADY;;510;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530723;10.04.2025;11.04.2025;HZ-5624;KHV-UUS;156,00;0,79;131,67;156,00;RUB;79,00;12324,00;0,00;0,00;12826,40;24,00;24,00;502,40;0,00;0,00;PWHSHNUR;;100;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530616;10.04.2025;11.04.2025;HZ-5624;KHV-UUS;39,00;0,36;60,00;60,00;RUB;79,00;4740,00;0,00;0,00;4964,00;24,00;24,00;224,00;0,00;0,00;STEKLO;;100;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530885;10.04.2025;11.04.2025;HZ-5680;VVO-UUS;19,00;0,03;5,00;25,00;RUB;79,00;1975,00;0,00;0,00;2097,50;24,00;24,00;122,50;0,00;0,00;ZAPCHASTIFIL;;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530594;10.04.2025;12.04.2025;HZ-5632;VVO-GDX;65,00;0,13;21,67;65,00;RUB;214,00;13910,00;0,00;0,00;14148,50;24,00;24,00;238,50;0,00;0,00;ZAPCHASTI;;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
