air_waybill_number;date_of_sale;date_of_flight;flight_number;cargo_transportation_route;physical_weight;volume;volume_weight;paid_weight;currency_of_sale;air_fare;air_fare_1;rfs;rfs_1;total_amount;agency_commission;agency_commission_1;fees_total;myc;myc_1;type_of_cargo;transfer_point;product_code;additional_product_code;shc_code;inn;kpp;note;the_counterparty_to_the_inn_from_fwb
555-79765556;04.04.2025;05.04.2025;SU-5803;VVO-SVO;1818,00;12,58;2096,67;2097,00;RUB;160,00;335520,00;0,00;0,00;341651,30;24,00;24,00;6131,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79765593;03.04.2025;04.04.2025;SU-1701;VVO-SVO;1180,00;9,78;1630,00;1630,00;RUB;160,00;260800,00;0,00;0,00;265577,00;24,00;24,00;4777,00;0,00;0,00;OBORUDGRIF;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79765792;03.04.2025;04.04.2025;SU-5803;VVO-SVO;899,00;5,76;960,00;960,00;RUB;160,00;153600,00;0,00;0,00;156434,00;24,00;24,00;2834,00;0,00;0,00;INTERAKTIVPA;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79765873;04.04.2025;05.04.2025;HZ-5616;VVO-PKC;201,00;1,50;250,00;250,00;RUB;194,00;48500,00;0,00;0,00;49275,00;24,00;24,00;775,00;0,00;0,00;MEDIKAMENTYFAS;;520;;PIL;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79765943;02.04.2025;03.04.2025;SU-1701;VVO-SVO;1482,00;13,59;2265,00;2265,00;RUB;160,00;362400,00;0,00;0,00;369018,50;24,00;24,00;6618,50;0,00;0,00;OBORUDGRIF;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79765954;03.04.2025;04.04.2025;SU-5803;VVO-SVO;860,00;7,00;1166,67;1167,00;RUB;160,00;186720,00;0,00;0,00;190154,30;24,00;24,00;3434,30;0,00;0,00;OBORUDGRIF;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79765965;02.04.2025;03.04.2025;SU-5805;VVO-SVO;981,00;7,49;1248,33;1248,50;RUB;160,00;199760,00;0,00;0,00;203430,65;24,00;24,00;3670,65;0,00;0,00;OBORUDGRIF;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79765991;01.04.2025;02.04.2025;SU-1705;VVO-SVO;80,00;0,25;41,67;80,00;RUB;160,00;12800,00;0,00;0,00;13082,00;24,00;24,00;282,00;0,00;0,00;ZAPCHASTIVL;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766013;02.04.2025;03.04.2025;SU-1701;VVO-SVO;62,00;0,17;28,33;62,00;RUB;160,00;9920,00;0,00;0,00;10149,80;24,00;24,00;229,80;0,00;0,00;ZAPCHASTINM;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766024;02.04.2025;03.04.2025;SU-1701;VVO-SVO;74,00;0,27;45,00;74,00;RUB;160,00;11840,00;0,00;0,00;12104,60;24,00;24,00;264,60;0,00;0,00;ZAPCHASTIVL;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766035;02.04.2025;03.04.2025;SU-1701;VVO-SVO;995,00;10,42;1736,67;1737,00;RUB;160,00;277920,00;0,00;0,00;283007,30;24,00;24,00;5087,30;0,00;0,00;TNPBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766046;03.04.2025;04.04.2025;SU-5805;VVO-SVO;1132,00;12,76;2126,67;2127,00;RUB;160,00;340320,00;0,00;0,00;346538,30;24,00;24,00;6218,30;0,00;0,00;TNPBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766050;04.04.2025;05.04.2025;SU-1701;VVO-SVO;23,00;0,08;13,33;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;ZAPCHASTINM;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766061;04.04.2025;05.04.2025;SU-1701;VVO-SVO;1300,00;10,50;1750,00;1750,00;RUB;160,00;280000,00;0,00;0,00;285125,00;24,00;24,00;5125,00;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766083;04.04.2025;05.04.2025;HZ-5684;KHV-PKC;127,00;1,04;173,33;173,50;RUB;233,00;40425,50;0,00;0,00;40978,65;24,00;24,00;553,15;0,00;0,00;BADY;;520;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-79766094;01.04.2025;02.04.2025;HZ-5684;KHV-PKC;115,00;0,67;111,67;115,00;RUB;233,00;26795,00;0,00;0,00;27178,50;24,00;24,00;383,50;0,00;0,00;BADY;;520;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-79766105;05.04.2025;06.04.2025;SU-5805;VVO-SVO;225,00;1,50;250,00;250,00;RUB;160,00;40000,00;0,00;0,00;40775,00;24,00;24,00;775,00;0,00;0,00;ZAPCHASTIVL;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766116;01.04.2025;02.04.2025;HZ-5606;VVO-UUS;13,00;0,08;13,33;25,00;RUB;107,00;2675,00;0,00;0,00;2797,50;24,00;24,00;122,50;0,00;0,00;DOKUMOBORUBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766131;02.04.2025;03.04.2025;SU-5803;VVO-SVO;742,00;2,95;491,67;742,00;RUB;160,00;118720,00;0,00;0,00;120921,80;24,00;24,00;2201,80;0,00;0,00;OBORUDTERM;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766142;01.04.2025;02.04.2025;HZ-5606;VVO-UUS;92,00;0,64;106,67;107,00;RUB;107,00;11449,00;0,00;0,00;11809,30;24,00;24,00;360,30;0,00;0,00;CV-ODEZDA;;520;;GDS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766164;01.04.2025;02.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CVBIOMATERIAL;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766175;03.04.2025;04.04.2025;SU-1701;VVO-SVO;245,00;0,90;150,00;245,00;RUB;160,00;39200,00;0,00;0,00;39960,50;24,00;24,00;760,50;0,00;0,00;GOSOBORON;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766186;02.04.2025;02.04.2025;SU-1705;VVO-SVO;76,00;0,50;83,33;83,50;RUB;160,00;13360,00;0,00;0,00;13652,15;24,00;24,00;292,15;0,00;0,00;KOSMETIKA;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
